Frequence;Amplitude
0.0;8.107
0.5;9.154
1.0;1.918
1.5;3.545
2.0;2.963
2.5;9.247
3.0;5.546
3.5;4.706
4.0;9.009
4.5;4.991
5.0;3.565
5.5;2.056
6.0;9.577
6.5;6.911
7.0;5.506
7.5;2.974
8.0;5.919
8.5;1.835
9.0;3.525
9.5;7.646
10.0;5.921
10.5;1.305
11.0;8.96
11.5;1.135
12.0;3.128
12.5;3.308
13.0;5.115
13.5;4.146
14.0;4.311
14.5;3.082
15.0;6.613
15.5;5.332
16.0;0.267
16.5;3.265
17.0;3.098
17.5;4.808
18.0;0.99
18.5;2.153
19.0;4.995
19.5;4.603
20.0;2.681
20.5;4.953
21.0;7.208
21.5;3.263
22.0;6.972
22.5;6.064
23.0;4.744
23.5;2.044
24.0;3.229
24.5;4.004
25.0;1.328
25.5;3.468
26.0;0.557
26.5;0.415
27.0;2.589
27.5;4.617
28.0;4.36
28.5;5.504
29.0;2.096
29.5;7.26
30.0;4.08
30.5;2.93
31.0;7.265
31.5;6.34
32.0;7.508
32.5;7.551
33.0;6.875
33.5;8.118
34.0;7.62
34.5;4.088
35.0;9.952
35.5;2.295
36.0;3.442
36.5;5.481
37.0;4.392
37.5;3.923
38.0;4.508
38.5;5.013
39.0;12.62
39.5;12.309
40.0;13.972
40.5;4.664
41.0;5.772
41.5;7.272
42.0;12.178
42.5;5.622
43.0;9.579
43.5;4.896
44.0;4.971
44.5;6.16
45.0;7.382
45.5;2.909
46.0;5.744
46.5;11.497
47.0;2.941
47.5;5.119
48.0;6.864
48.5;7.54
49.0;6.84
49.5;9.042
50.0;10.331
50.5;3.192
51.0;2.403
51.5;3.178
52.0;3.657
52.5;5.925
53.0;4.4
53.5;1.115
54.0;7.485
54.5;6.051
55.0;3.088
55.5;5.164
56.0;14.148
56.5;10.55
57.0;5.25
57.5;6.914
58.0;13.955
58.5;7.087
59.0;5.064
59.5;6.078
60.0;17.019
60.5;12.022
61.0;3.32
61.5;6.497
62.0;7.943
62.5;14.273
63.0;0.636
63.5;0.887
64.0;13.673
64.5;10.412
65.0;6.059
65.5;4.943
66.0;11.029
66.5;17.841
67.0;10.271
67.5;9.803
68.0;15.732
68.5;18.279
69.0;13.709
69.5;15.458
70.0;17.695
70.5;17.593
71.0;16.232
71.5;16.424
72.0;4.909
72.5;16.4
73.0;16.218
73.5;13.188
74.0;13.464
74.5;16.892
75.0;9.937
75.5;16.034
76.0;13.391
76.5;22.807
77.0;24.61
77.5;24.541
78.0;21.582
78.5;19.394
79.0;26.08
79.5;32.948
80.0;28.504
80.5;28.301
81.0;19.046
81.5;32.055
82.0;26.638
82.5;15.04
83.0;21.922
83.5;36.614
84.0;29.837
84.5;17.375
85.0;20.216
85.5;46.84
86.0;57.025
86.5;34.445
87.0;48.196
87.5;71.259
88.0;61.813
88.5;69.009
89.0;54.524
89.5;127.709
90.0;129.351
90.5;78.665
91.0;77.841
91.5;115.455
92.0;138.388
92.5;196.156
93.0;65.857
93.5;165.848
94.0;190.81
94.5;66.193
95.0;37.604
95.5;143.261
96.0;126.221
96.5;97.013
97.0;5.246
97.5;72.26
98.0;74.913
98.5;38.885
99.0;35.27
99.5;49.025
100.0;43.37
100.5;20.739
101.0;6.695
101.5;36.509
102.0;27.717
102.5;16.177
103.0;23.83
103.5;11.401
104.0;4.872
104.5;33.713
105.0;14.098
105.5;22.799
106.0;19.136
106.5;15.895
107.0;18.566
107.5;12.717
108.0;23.754
108.5;33.915
109.0;25.097
109.5;9.301
110.0;24.128
110.5;5.16
111.0;12.958
111.5;9.866
112.0;24.889
112.5;3.227
113.0;22.24
113.5;12.138
114.0;5.583
114.5;11.509
115.0;1.719
115.5;17.624
116.0;13.091
116.5;15.459
117.0;16.957
117.5;24.149
118.0;11.215
118.5;21.619
119.0;20.113
119.5;39.235
120.0;31.634
120.5;42.299
121.0;41.637
121.5;52.893
122.0;42.937
122.5;25.814
123.0;20.057
123.5;28.259
124.0;47.561
124.5;53.499
125.0;113.404
125.5;66.863
126.0;81.514
126.5;68.394
127.0;82.485
127.5;77.814
128.0;72.948
128.5;44.498
129.0;34.393
129.5;106.45
130.0;118.577
130.5;122.787
131.0;115.817
131.5;113.559
132.0;103.076
132.5;144.92
133.0;95.821
133.5;96.56
134.0;5.912
134.5;39.072
135.0;29.904
135.5;58.482
136.0;37.606
136.5;99.761
137.0;48.362
137.5;71.399
138.0;72.919
138.5;84.724
139.0;42.565
139.5;70.181
140.0;86.251
140.5;114.224
141.0;125.95
141.5;94.273
142.0;78.924
142.5;128.201
143.0;162.844
143.5;195.401
144.0;210.521
144.5;68.208
145.0;435.177
145.5;697.613
146.0;892.833
146.5;1029.64
147.0;1040.877
147.5;900.292
148.0;639.981
148.5;331.69
149.0;132.493
149.5;194.551
150.0;239.858
150.5;179.568
151.0;173.388
151.5;97.935
152.0;182.454
152.5;65.668
153.0;157.324
153.5;41.636
154.0;90.715
154.5;25.374
155.0;186.328
155.5;48.949
156.0;95.307
156.5;75.008
157.0;129.735
157.5;85.404
158.0;87.079
158.5;175.991
159.0;159.058
159.5;225.284
160.0;131.928
160.5;259.01
161.0;216.524
161.5;268.178
162.0;223.189
162.5;370.037
163.0;309.208
163.5;411.884
164.0;317.9
164.5;353.317
165.0;291.393
165.5;386.208
166.0;374.6
166.5;388.886
167.0;355.829
167.5;407.684
168.0;313.708
168.5;244.705
169.0;234.776
169.5;235.221
170.0;201.683
170.5;141.087
171.0;122.898
171.5;130.005
172.0;68.894
172.5;72.146
173.0;126.805
173.5;52.68
174.0;46.205
174.5;27.294
175.0;81.529
175.5;21.2
176.0;30.497
176.5;39.64
177.0;45.93
177.5;33.888
178.0;21.046
178.5;28.091
179.0;20.095
179.5;30.713
180.0;40.301
180.5;19.617
181.0;33.855
181.5;55.025
182.0;14.148
182.5;15.85
183.0;19.512
183.5;42.192
184.0;20.145
184.5;16.095
185.0;43.188
185.5;23.356
186.0;17.194
186.5;18.769
187.0;28.671
187.5;34.298
188.0;33.424
188.5;8.24
189.0;35.751
189.5;17.268
190.0;38.178
190.5;35.251
191.0;22.08
191.5;9.431
192.0;35.294
192.5;17.473
193.0;17.477
193.5;22.965
194.0;18.164
194.5;16.601
195.0;17.88
195.5;10.106
196.0;14.198
196.5;22.015
197.0;4.089
197.5;13.733
198.0;11.297
198.5;20.691
199.0;13.535
199.5;21.139
200.0;8.432
200.5;6.171
201.0;16.18
201.5;5.522
202.0;8.732
202.5;10.636
203.0;13.021
203.5;19.818
204.0;18.007
204.5;5.675
205.0;14.033
205.5;16.223
206.0;9.31
206.5;4.878
207.0;20.561
