Frequence;Amplitude
0.0;0.2
0.5;0.912
1.0;0.588
1.5;0.237
2.0;0.184
2.5;0.233
3.0;0.31
3.5;0.532
4.0;0.573
4.5;0.356
5.0;0.483
5.5;0.15
6.0;0.281
6.5;0.408
7.0;0.447
7.5;0.487
8.0;0.356
8.5;0.209
9.0;0.133
9.5;0.484
10.0;0.383
10.5;0.233
11.0;0.077
11.5;0.274
12.0;0.101
12.5;0.137
13.0;0.386
13.5;0.506
14.0;0.157
14.5;0.518
15.0;0.731
15.5;1.57
16.0;0.34
16.5;0.331
17.0;0.327
17.5;0.787
18.0;0.439
18.5;0.188
19.0;1.499
19.5;0.656
20.0;1.704
20.5;1.788
21.0;0.515
21.5;0.283
22.0;0.439
22.5;1.684
23.0;0.818
23.5;0.403
24.0;0.605
24.5;0.489
25.0;0.773
25.5;1.118
26.0;0.836
26.5;0.168
27.0;0.639
27.5;0.765
28.0;1.046
28.5;0.984
29.0;0.46
29.5;0.336
30.0;1.389
30.5;0.479
31.0;0.379
31.5;0.637
32.0;0.07
32.5;0.094
33.0;0.394
33.5;0.679
34.0;0.58
34.5;0.294
35.0;0.293
35.5;0.214
36.0;0.465
36.5;0.326
37.0;0.486
37.5;0.242
38.0;0.228
38.5;0.544
39.0;0.198
39.5;0.723
40.0;0.349
40.5;0.404
41.0;0.578
41.5;0.41
42.0;1.223
42.5;0.104
43.0;0.607
43.5;1.273
44.0;0.422
44.5;0.287
45.0;0.332
45.5;1.014
46.0;0.994
46.5;0.848
47.0;0.06
47.5;0.917
48.0;0.083
48.5;1.6
49.0;1.932
49.5;1.789
50.0;1.812
50.5;4.396
51.0;1.7
51.5;1.607
52.0;1.482
52.5;0.973
53.0;0.89
53.5;1.006
54.0;4.706
54.5;3.737
55.0;1.379
55.5;2.864
56.0;4.74
56.5;2.75
57.0;2.904
57.5;2.86
58.0;5.572
58.5;1.757
59.0;4.808
59.5;2.042
60.0;3.485
60.5;1.366
61.0;4.173
61.5;4.098
62.0;3.247
62.5;2.617
63.0;1.51
63.5;4.379
64.0;6.297
64.5;8.055
65.0;2.502
65.5;7.527
66.0;5.387
66.5;3.111
67.0;1.231
67.5;10.557
68.0;9.819
68.5;8.618
69.0;12.284
69.5;15.279
70.0;11.394
70.5;0.521
71.0;9.578
71.5;3.333
72.0;10.918
72.5;10.804
73.0;7.297
73.5;14.525
74.0;11.697
74.5;7.584
75.0;2.899
75.5;4.932
76.0;9.084
76.5;10.475
77.0;5.791
77.5;8.066
78.0;5.565
78.5;6.245
79.0;3.856
79.5;4.139
80.0;6.588
80.5;0.996
81.0;4.231
81.5;3.911
82.0;4.076
82.5;1.452
83.0;2.518
83.5;1.594
84.0;2.725
84.5;5.472
85.0;5.852
85.5;5.885
86.0;4.883
86.5;7.79
87.0;2.408
87.5;8.687
88.0;6.097
88.5;2.863
89.0;4.427
89.5;3.5
90.0;2.763
90.5;0.452
91.0;4.336
91.5;7.193
92.0;15.054
92.5;9.598
93.0;8.248
93.5;2.35
94.0;3.322
94.5;1.749
95.0;1.408
95.5;2.275
96.0;1.523
96.5;13.973
97.0;7.475
97.5;2.147
98.0;3.745
98.5;9.279
99.0;5.312
99.5;1.811
100.0;3.358
100.5;1.759
101.0;3.312
101.5;1.711
102.0;5.479
102.5;4.34
103.0;6.466
103.5;3.115
104.0;4.944
104.5;8.441
105.0;6.549
105.5;5.235
106.0;4.02
106.5;1.103
107.0;0.836
107.5;4.096
108.0;7.262
108.5;6.407
109.0;16.974
109.5;22.308
110.0;18.83
110.5;3.011
111.0;6.635
111.5;11.694
112.0;2.95
112.5;7.639
113.0;4.198
113.5;4.924
114.0;3.836
114.5;2.95
115.0;3.04
115.5;1.755
116.0;7.65
116.5;3.934
117.0;9.452
117.5;3.118
118.0;4.432
118.5;1.896
119.0;1.722
119.5;1.227
120.0;1.454
120.5;1.577
121.0;3.401
121.5;3.938
122.0;1.734
122.5;6.491
123.0;10.055
123.5;12.604
124.0;3.485
124.5;2.148
125.0;1.729
125.5;1.736
126.0;1.616
126.5;2.41
127.0;0.728
127.5;0.434
128.0;0.893
128.5;1.018
129.0;4.138
129.5;1.004
130.0;2.384
130.5;2.675
131.0;3.188
131.5;2.401
132.0;1.533
132.5;1.806
133.0;1.442
133.5;1.156
134.0;3.766
134.5;2.274
135.0;2.254
135.5;3.282
136.0;6.235
136.5;3.262
137.0;2.137
137.5;2.411
138.0;2.709
138.5;2.636
139.0;10.908
139.5;5.675
140.0;3.36
140.5;1.268
141.0;3.53
141.5;2.244
142.0;3.586
142.5;4.753
143.0;4.3
143.5;7.271
144.0;2.559
144.5;3.655
145.0;4.179
145.5;3.529
146.0;2.285
146.5;4.583
147.0;14.211
147.5;4.872
148.0;2.652
148.5;3.564
149.0;0.932
149.5;2.22
150.0;3.206
150.5;1.254
151.0;2.267
151.5;1.027
152.0;0.821
152.5;6.299
153.0;5.139
153.5;0.912
154.0;1.541
154.5;3.35
155.0;3.966
155.5;1.25
156.0;2.358
156.5;1.995
157.0;2.295
157.5;1.479
158.0;0.175
158.5;1.519
159.0;2.311
159.5;2.594
160.0;3.434
160.5;5.653
161.0;3.513
161.5;1.295
162.0;2.366
162.5;1.83
163.0;2.28
163.5;0.648
164.0;0.988
164.5;0.854
165.0;0.847
165.5;1.858
166.0;1.909
166.5;2.641
167.0;3.458
167.5;2.6
168.0;0.606
168.5;0.542
169.0;0.61
169.5;2.491
170.0;0.832
170.5;1.476
171.0;2.074
171.5;1.251
172.0;2.262
172.5;1.64
173.0;2.639
173.5;0.473
174.0;2.073
174.5;2.918
175.0;1.835
175.5;1.977
176.0;1.825
176.5;1.394
177.0;1.849
177.5;1.529
178.0;0.953
178.5;3.447
179.0;4.139
179.5;0.496
180.0;2.613
180.5;1.141
181.0;1.168
181.5;0.86
182.0;1.213
182.5;2.329
183.0;1.054
183.5;0.971
184.0;1.853
184.5;1.526
185.0;1.16
185.5;2.426
186.0;2.271
186.5;0.309
187.0;1.523
187.5;1.243
188.0;2.278
