Frequence;Amplitude
0.0;0.016
0.5;0.45
1.0;0.61
1.5;0.841
2.0;1.071
2.5;1.059
3.0;1.633
3.5;1.773
4.0;3.043
4.5;2.713
5.0;1.378
5.5;0.714
6.0;1.248
6.5;0.773
7.0;0.889
7.5;2.365
8.0;0.648
8.5;0.735
9.0;0.692
9.5;1.622
10.0;1.512
10.5;1.211
11.0;2.299
11.5;0.751
12.0;1.046
12.5;2.112
13.0;0.915
13.5;1.369
14.0;0.304
14.5;1.015
15.0;0.9
15.5;1.314
16.0;0.422
16.5;0.543
17.0;0.518
17.5;0.452
18.0;0.698
18.5;1.172
19.0;0.412
19.5;0.71
20.0;2.421
20.5;1.164
21.0;1.097
21.5;0.573
22.0;0.58
22.5;0.598
23.0;2.233
23.5;2.652
24.0;0.61
24.5;3.316
25.0;2.319
25.5;0.233
26.0;0.226
26.5;0.47
27.0;0.955
27.5;1.0
28.0;1.503
28.5;0.605
29.0;1.488
29.5;0.947
30.0;0.611
30.5;0.93
31.0;0.444
31.5;0.164
32.0;0.947
32.5;1.312
33.0;0.936
33.5;0.26
34.0;0.577
34.5;0.854
35.0;0.654
35.5;0.529
36.0;0.495
36.5;0.68
37.0;0.555
37.5;0.676
38.0;0.917
38.5;1.214
39.0;0.287
39.5;0.624
40.0;1.02
40.5;1.602
41.0;0.382
41.5;0.33
42.0;0.541
42.5;0.431
43.0;0.476
43.5;0.579
44.0;0.314
44.5;0.925
45.0;1.2
45.5;0.962
46.0;0.854
46.5;0.18
47.0;0.657
47.5;1.318
48.0;1.484
48.5;1.22
49.0;0.24
49.5;1.051
50.0;0.298
50.5;0.452
51.0;0.818
51.5;0.154
52.0;0.334
52.5;0.404
53.0;0.133
53.5;0.475
54.0;0.415
54.5;0.754
55.0;0.157
55.5;0.713
56.0;1.362
56.5;0.51
57.0;0.188
57.5;0.242
58.0;0.883
58.5;0.283
59.0;0.511
59.5;0.296
60.0;0.581
60.5;0.358
61.0;0.826
61.5;1.168
62.0;0.318
62.5;0.725
63.0;0.166
63.5;0.016
64.0;0.952
64.5;0.405
65.0;0.337
65.5;0.415
66.0;0.586
66.5;0.444
67.0;0.222
67.5;1.1
68.0;0.501
68.5;0.274
69.0;0.599
69.5;1.01
70.0;0.082
70.5;0.684
71.0;0.525
71.5;0.19
72.0;0.683
72.5;0.569
73.0;0.548
73.5;0.73
74.0;0.336
74.5;0.607
75.0;0.164
75.5;0.33
76.0;0.376
76.5;0.141
77.0;0.083
77.5;0.3
78.0;0.726
78.5;0.419
79.0;0.418
79.5;0.663
80.0;0.72
80.5;0.26
81.0;1.295
81.5;0.476
82.0;0.463
82.5;0.74
83.0;0.258
83.5;0.309
84.0;0.4
84.5;1.052
85.0;0.216
85.5;0.41
86.0;0.584
86.5;0.553
87.0;0.534
87.5;0.473
88.0;1.066
88.5;0.183
89.0;0.4
89.5;0.082
90.0;0.197
90.5;0.419
91.0;0.779
91.5;0.485
92.0;0.474
92.5;0.43
93.0;0.811
93.5;0.471
94.0;0.28
94.5;0.384
95.0;0.369
95.5;0.65
96.0;0.877
96.5;0.854
97.0;0.794
97.5;0.472
98.0;0.272
98.5;0.173
99.0;0.671
99.5;0.268
100.0;0.735
100.5;0.135
101.0;0.749
101.5;0.414
102.0;0.537
102.5;0.772
103.0;0.379
103.5;0.797
104.0;0.481
104.5;1.054
105.0;0.159
105.5;0.131
106.0;0.299
106.5;0.37
107.0;0.353
107.5;0.777
108.0;0.624
108.5;0.441
109.0;0.458
109.5;0.8
110.0;0.378
110.5;0.48
111.0;0.673
111.5;0.826
112.0;0.363
112.5;0.582
113.0;0.565
113.5;0.246
114.0;0.581
114.5;1.429
115.0;0.958
115.5;0.112
116.0;0.537
116.5;0.449
117.0;0.083
117.5;1.258
118.0;1.336
118.5;0.506
119.0;0.355
119.5;0.683
120.0;1.26
120.5;0.68
121.0;1.304
121.5;1.033
122.0;0.651
122.5;0.872
123.0;0.611
123.5;0.767
124.0;0.544
124.5;0.539
125.0;1.077
125.5;1.378
126.0;0.547
126.5;0.573
127.0;0.731
127.5;1.529
128.0;1.482
128.5;1.427
129.0;1.116
129.5;0.914
130.0;0.421
130.5;1.738
131.0;0.856
131.5;1.762
132.0;1.442
132.5;0.604
133.0;1.355
133.5;0.455
134.0;0.855
134.5;0.628
135.0;2.168
135.5;1.244
136.0;1.004
136.5;0.505
137.0;1.126
137.5;1.452
138.0;1.164
138.5;1.588
139.0;1.052
139.5;0.933
140.0;1.173
140.5;1.203
141.0;1.463
141.5;1.449
142.0;0.25
142.5;1.787
143.0;1.464
143.5;0.976
144.0;0.705
144.5;1.982
145.0;1.627
145.5;0.583
146.0;2.217
146.5;1.256
147.0;1.488
147.5;0.349
148.0;1.237
148.5;0.813
149.0;0.954
149.5;1.875
150.0;0.949
150.5;2.821
151.0;1.462
151.5;1.32
152.0;1.015
152.5;2.083
153.0;1.593
153.5;0.798
154.0;0.709
154.5;0.601
155.0;0.854
155.5;2.879
156.0;1.774
156.5;0.585
157.0;0.714
157.5;2.43
158.0;2.65
158.5;1.549
159.0;2.071
159.5;2.908
160.0;1.738
160.5;1.573
161.0;1.709
161.5;1.596
162.0;1.97
162.5;1.836
163.0;2.211
163.5;0.733
164.0;1.487
164.5;1.997
165.0;1.697
165.5;1.227
166.0;1.746
166.5;2.463
167.0;3.078
167.5;3.763
168.0;3.009
168.5;1.108
169.0;2.028
169.5;2.506
170.0;4.229
170.5;1.49
171.0;1.721
171.5;1.462
172.0;2.783
172.5;1.289
173.0;2.826
173.5;1.758
174.0;2.959
174.5;2.482
175.0;4.31
175.5;2.318
176.0;3.228
176.5;3.917
177.0;3.118
177.5;2.897
178.0;4.523
178.5;2.805
179.0;2.097
179.5;2.455
180.0;4.111
180.5;0.46
181.0;5.226
181.5;2.64
182.0;2.692
182.5;3.269
183.0;3.049
183.5;1.55
184.0;2.088
184.5;4.138
185.0;4.771
185.5;2.94
186.0;4.934
186.5;4.394
187.0;4.097
187.5;1.928
188.0;7.441
188.5;2.953
189.0;1.821
